ReadID	Length
m84085_250303_235918_s4/251729181/ccs	5844
m84085_250303_235918_s4/227218492/ccs	4878
m84085_250303_235918_s4/228789569/ccs	9818
m84085_250303_235918_s4/266734621/ccs	4120
m84085_250303_235918_s4/240587359/ccs	3069
m84085_250303_235918_s4/252450124/ccs	4095
m84085_250303_235918_s4/242554093/ccs	14864
m84085_250303_235918_s4/251860646/ccs	14926
m84085_250303_235918_s4/234034082/ccs	10946
m84085_250303_235918_s4/254610628/ccs	10326
m84085_250303_235918_s4/240717066/ccs	9560
m84085_250303_235918_s4/219549599/ccs	7381
m84085_250303_235918_s4/251530840/ccs	7583
m84085_250303_235918_s4/225644929/ccs	6297
m84085_250303_235918_s4/236721717/ccs	7319
m84085_250303_235918_s4/211751891/ccs	16630
m84085_250303_235918_s4/212405579/ccs	11588
m84085_250303_235918_s4/226037476/ccs	8569
m84085_250303_235918_s4/234755728/ccs	4213
m84085_250303_235918_s4/243667935/ccs	10472
m84085_250303_235918_s4/244060119/ccs	8524
m84085_250303_235918_s4/256250069/ccs	15198
m84085_250303_235918_s4/230559612/ccs	8416
m84085_250303_235918_s4/261821872/ccs	6915
m84085_250303_235918_s4/238162758/ccs	16994
m84085_250303_235918_s4/264506819/ccs	5245
m84085_250303_235918_s4/227153631/ccs	7623
m84085_250303_235918_s4/244126297/ccs	4351
m84085_250303_235918_s4/248909042/ccs	13232
m84085_250303_235918_s4/240653652/ccs	4570
m84085_250303_235918_s4/233444314/ccs	7332
m84085_250303_235918_s4/210506891/ccs	9316
m84085_250303_235918_s4/238031232/ccs	11311
m84085_250303_235918_s4/244780325/ccs	6878
m84085_250303_235918_s4/215881062/ccs	11059
m84085_250303_235918_s4/221778350/ccs	6401
m84085_250303_235918_s4/259986916/ccs	6717
m84085_250303_235918_s4/253103698/ccs	8574
m84085_250303_235918_s4/243274622/ccs	5778
m84085_250303_235918_s4/211620555/ccs	5609
m84085_250303_235918_s4/248777824/ccs	12196
m84085_250303_235918_s4/257954224/ccs	4155
m84085_250303_235918_s4/219352953/ccs	8904
m84085_250303_235918_s4/216668016/ccs	7491
m84085_250303_235918_s4/255200761/ccs	3102
m84085_250303_235918_s4/263065775/ccs	9284
m84085_250303_235918_s4/219680404/ccs	9806
m84085_250303_235918_s4/264114434/ccs	7561
m84085_250303_235918_s4/257889287/ccs	13123
m84085_250303_235918_s4/230756510/ccs	7126
m84085_250303_235918_s4/251268306/ccs	4839
m84085_250303_235918_s4/264440870/ccs	9891
m84085_250303_235918_s4/251205525/ccs	9384
m84085_250303_235918_s4/253105279/ccs	8690
m84085_250303_235918_s4/250811054/ccs	5445
m84085_250303_235918_s4/221648312/ccs	5395
m84085_250303_235918_s4/216994352/ccs	5941
m84085_250303_235918_s4/231083712/ccs	12769
m84085_250303_235918_s4/264573893/ccs	7872
m84085_250303_235918_s4/216666751/ccs	13048
m84085_250303_235918_s4/263589744/ccs	9568
m84085_250303_235918_s4/236066341/ccs	5436
m84085_250303_235918_s4/226366970/ccs	14334
m84085_250303_235918_s4/210114023/ccs	11572
m84085_250303_235918_s4/220531860/ccs	4867
m84085_250303_235918_s4/255200606/ccs	16389
m84085_250303_235918_s4/250678674/ccs	8858
m84085_250303_235918_s4/246355068/ccs	7789
m84085_250303_235918_s4/261166580/ccs	3001
m84085_250303_235918_s4/232197729/ccs	3674
m84085_250303_235918_s4/247861139/ccs	3468
m84085_250303_235918_s4/237047101/ccs	5934
m84085_250303_235918_s4/245173989/ccs	11381
m84085_250303_235918_s4/210899337/ccs	8797
m84085_250303_235918_s4/262345817/ccs	5002
m84085_250303_235918_s4/234754888/ccs	9342
m84085_250303_235918_s4/256642540/ccs	6375
m84085_250303_235918_s4/262477218/ccs	5792
m84085_250303_235918_s4/227348575/ccs	10431
m84085_250303_235918_s4/226561523/ccs	10796
m84085_250303_235918_s4/210243490/ccs	6731
m84085_250303_235918_s4/237703903/ccs	4099
m84085_250303_235918_s4/227678048/ccs	14377
m84085_250303_235918_s4/259133090/ccs	7856
m84085_250303_235918_s4/237704667/ccs	8957
m84085_250303_235918_s4/212145021/ccs	12985
m84085_250303_235918_s4/219026966/ccs	17059
m84085_250303_235918_s4/240914654/ccs	5526
m84085_250303_235918_s4/243079083/ccs	12133
m84085_250303_235918_s4/231413499/ccs	11582
m84085_250303_235918_s4/251400262/ccs	12015
m84085_250303_235918_s4/222631760/ccs	10408
m84085_250303_235918_s4/260378230/ccs	9505
m84085_250303_235918_s4/217649216/ccs	6580
m84085_250303_235918_s4/226366568/ccs	17750
m84085_250303_235918_s4/233182113/ccs	4265
m84085_250303_235918_s4/243406250/ccs	13711
m84085_250303_235918_s4/254284351/ccs	7272
m84085_250303_235918_s4/267260475/ccs	11302
m84085_250303_235918_s4/251071509/ccs	9808
m84085_250303_235918_s4/227284339/ccs	8699
m84085_250303_235918_s4/232003376/ccs	13329
m84085_250303_235918_s4/241241816/ccs	9876
m84085_250303_235918_s4/233903486/ccs	10442
m84085_250303_235918_s4/248451763/ccs	11302
m84085_250303_235918_s4/231477775/ccs	7885
m84085_250303_235918_s4/263263258/ccs	9008
m84085_250303_235918_s4/227413436/ccs	3991
m84085_250303_235918_s4/212080577/ccs	10905
m84085_250303_235918_s4/255989479/ccs	14787
m84085_250303_235918_s4/259461899/ccs	11149
m84085_250303_235918_s4/247861628/ccs	10520
m84085_250303_235918_s4/262869887/ccs	8657
m84085_250303_235918_s4/267456266/ccs	10301
m84085_250303_235918_s4/243799512/ccs	6363
m84085_250303_235918_s4/215945251/ccs	8747
m84085_250303_235918_s4/236719796/ccs	3984
m84085_250303_235918_s4/253890177/ccs	13750
m84085_250303_235918_s4/258936652/ccs	14845
m84085_250303_235918_s4/238228103/ccs	4029
m84085_250303_235918_s4/220597831/ccs	12953
m84085_250303_235918_s4/251859649/ccs	17154
m84085_250303_235918_s4/218896120/ccs	8681
m84085_250303_235918_s4/237833369/ccs	5961
m84085_250303_235918_s4/228462623/ccs	4208
m84085_250303_235918_s4/235738360/ccs	18204
m84085_250303_235918_s4/231935439/ccs	8924
m84085_250303_235918_s4/237310985/ccs	4578
m84085_250303_235918_s4/218436716/ccs	7353
m84085_250303_235918_s4/250809971/ccs	8032
m84085_250303_235918_s4/227152548/ccs	4952
m84085_250303_235918_s4/238489868/ccs	8479
m84085_250303_235918_s4/231084872/ccs	14307
m84085_250303_235918_s4/234688695/ccs	12663
m84085_250303_235918_s4/260970041/ccs	12623
m84085_250303_235918_s4/233641784/ccs	10715
m84085_250303_235918_s4/241963571/ccs	7503
m84085_250303_235918_s4/266407629/ccs	8486
m84085_250303_235918_s4/247467105/ccs	4768
m84085_250303_235918_s4/233903310/ccs	6118
m84085_250303_235918_s4/237965608/ccs	3694
m84085_250303_235918_s4/216601793/ccs	4515
m84085_250303_235918_s4/255724559/ccs	4125
m84085_250303_235918_s4/253300170/ccs	10202
m84085_250303_235918_s4/265032603/ccs	8715
m84085_250303_235918_s4/255202621/ccs	7900
m84085_250303_235918_s4/243142126/ccs	10237
m84085_250303_235918_s4/222956824/ccs	8840
m84085_250303_235918_s4/236326192/ccs	19556
m84085_250303_235918_s4/242750711/ccs	9235
m84085_250303_235918_s4/262278880/ccs	6927
m84085_250303_235918_s4/255462899/ccs	9766
m84085_250303_235918_s4/262673029/ccs	15495
m84085_250303_235918_s4/241372550/ccs	9445
m84085_250303_235918_s4/237835528/ccs	6752
m84085_250303_235918_s4/246484872/ccs	9430
m84085_250303_235918_s4/238294661/ccs	5483
m84085_250303_235918_s4/226168886/ccs	5422
m84085_250303_235918_s4/267456596/ccs	16415
m84085_250303_235918_s4/235606786/ccs	4798
m84085_250303_235918_s4/251137067/ccs	10964
m84085_250303_235918_s4/252710371/ccs	6476
m84085_250303_235918_s4/210703642/ccs	2793
m84085_250303_235918_s4/241765766/ccs	7486
m84085_250303_235918_s4/228595414/ccs	13936
m84085_250303_235918_s4/254283643/ccs	4830
m84085_250303_235918_s4/247861288/ccs	4357
m84085_250303_235918_s4/252580704/ccs	6298
m84085_250303_235918_s4/218238544/ccs	8500
m84085_250303_235918_s4/211359265/ccs	8749
m84085_250303_235918_s4/255660122/ccs	8109
m84085_250303_235918_s4/237768862/ccs	9879
m84085_250303_235918_s4/228856127/ccs	12179
m84085_250303_235918_s4/228659048/ccs	8816
m84085_250303_235918_s4/264771346/ccs	11218
m84085_250303_235918_s4/226758669/ccs	6097
m84085_250303_235918_s4/252253106/ccs	9413
m84085_250303_235918_s4/216075500/ccs	22948
m84085_250303_235918_s4/253301891/ccs	7386
m84085_250303_235918_s4/221188621/ccs	12752
m84085_250303_235918_s4/254807845/ccs	9681
m84085_250303_235918_s4/254481415/ccs	9778
m84085_250303_235918_s4/220862016/ccs	6920
m84085_250303_235918_s4/240325454/ccs	10464
m84085_250303_235918_s4/251859214/ccs	9405
